Year,Planted Area (Hectare),Average Yield (Kilogram/Hectare),Paddy Production (Tonne),Rice Production (Tonne)
1980,716873,2852,2044604,1318332
1981,710789,2842,2019900,1302921
1982,682070,2762,1883604,1213281
1983,665813,2605,1734325,1116937
1984,630833,2491,1571674,1010279
1985,656375,2975,1952914,1257970
1986,650875,2640,1718215,1104501
1987,658954,2469,1626699,1046467
1988,671755,2525,1696239,1091478
1989,664137,2625,1743444,1122617
1990,680647,2769,1884984,1215065
1991,683640,2818,1926354,1241796
1992,672753,2992,2012732,1297914
1993,693434,3035,2104447,1357432
1994,698624,3061,2138788,1378945
1995,672787,3162,2127271,1372584
1996,685468,3251,2228489,1438794
1997,690975,3068,2119615,1367951
1998,674404,2883,1944240,1256854
1999,692389,2941,2036641,1314437
2000,698702,3064,2140904,1381662
2001,673634,3110,2094995,1351461
2002,678544,3238,2197351,1415117
2003,671820,3360,2257037,1453137
2004,676310,3434,2291353,1467052
2005,666781,3471,2314378,1490015
2006,676034,3236,2187519,1407220
2007,676111,3514,2375604,1530971
2008,656602,3584,2353032,1516470
2009,674928,3720,2511043,1620259
2010,677884,3636,2464831,1588457
2011,687940,3748,2578519,1661260
2012,684545,3797,2599382,1674981
2013,671679,3876,2603654,1677368
2014,679239,4194,2848560,1834831
2015,681559,4022,2741404,1767407
2016,688770,3978,2739606,1766115
2017,685548,3750,2570513,1656302
2018P,700306,3770,2639916,1700231
2019e,684416,4255,2912203,1876922
